id,descripcion
0,"Es la energía contenida en un caudal de agua. Cuando el agua fluye a través de una turbina, que se conecta a un generador eléctrico, la energía del agua se convierte en electricidad."
1,"Es la energía obtenida a partir de la utilización de uranio natural o enriquecido. En la actualidad, existen tres centrales nucleares en Argentina: Atucha I, II y Central Nuclear Embalse."
2,"Es una mezcla de hidrocarburos que, en condiciones normales de presión y temperatura, se presenta en estado gaseoso."
3,"Es una mezcla compleja de hidrocarburos de distinto peso molecular. Una fracción, generalmente pequeña, tiene azufre y nitrógeno."
4,"Es la energía producida por el viento.  Cuando el viento fluye a través de una turbina, que se conecta a un generador eléctrico, la energía del viento se convierte en electricidad."
5,"Es la energía producida por el sol. Con ella, se genera electricidad en centrales fotovoltaicas y termosolares."
6,"Es un mineral combustible sólido, de color negro o marrón oscuro que contiene esencialmente carbono. Tiene pequeñas cantidades de hidrógeno y oxígeno, nitrógeno, azufre y otros elementos."
7,"Es el recurso primario que permite obtener el bioetanol. Generalmente es alcohol de maíz o caña de azúcar."
8,"Es el recurso primario desde el que se obtiene el biodiesel. Generalmente es aceite de soja."
9,"Es la madera obtenida de los árboles de los bosques nativos o implantados."
10,"Es el residuo fibroso resultante de la trituración, presión o maceración de la caña de azúcar. Por cada tonelada de caña se obtiene aproximadamente un 30% de bagazo."
11,"Son otros recursos no especificados en el resto de las categorías, como los residuos vegetales."
12,"Es la energía que transmiten los electrones en movimiento. Comprende la energía eléctrica generada con cualquier recurso, sea primario o secundario, renovable o no renovable, en los diferentes tipos de plantas de generación eléctrica."
13,"Es el gas que se usa en los redes domiciliarias y está compuesto principalmente por metano. Se obtiene luego de eliminar los líquidos del gas natural."
14,"Es un compuesto de propano o butano. Este combustible puede obtenerse tanto como elemento pesado en la corriente de gas natural o como componente liviano en la destilación de petróleo."
15,"Es el gas que se usa en las redes domiciliarias y está compuesto principalmente por metano. Se obtiene luego de eliminar los líquidos del gas natural."
16,"Es un combustible residual, producto de la refinación del petróleo y comprende todos los productos pesados, incluyendo los obtenidos por mezcla. Generalmente es usado en calderas, plantas de generación eléctrica y en motores usados en navegación."
17,"Es una mezcla compleja de hidrocarburos relativamente volátiles que, con o sin aditivos como el tetraetilo de plomo, se usa como combustible para motores de vehículos terrestres, de ignición por chispa."
18,"Son instalaciones que permiten convertir distintas formas de energía en electricidad. Tanto energía directa obtenida de la naturaleza (como la hidroenergía, la geotermia, la energía eólica y la energía solar), como el calor obtenido de la combustión de otras fuentes."
19,"Son instalaciones donde se separa el gas natural para obtener gas seco, de uso domiciliario, propano, butano y gasolinas livianas."
20,"Son instalaciones donde se procesa el petróleo crudo para obtener derivados, como la nafta o el gasoil."
21,"Destilerías, coquerías, carboneras y altos hornos."
22,"En el sector primario, es el consumo que se hace durante la extracción de un recurso. Por ejemplo, el consumo de gas en un yacimiento. En el secundario, es el recurso energético que se consume dentro de un centro de transformación. Por ejemplo, el consumo de electricidad en una central generadora de electricidad."
23,"Es el consumo energético de los hogares urbanos y rurales del país."
24,"Son productos que no se usan con fines energéticos aún cuando poseen un considerable contenido energético. Incluye: asfaltos, solventes, aceites, grasas y otros lubricantes."
25,"Son los consumos de energía que hacen todos los servicios de transporte dentro del territorio nacional, de distintos medios y modos, sean públicos o privados."
26,"Es el consumo de todas las actividades comerciales y de servicio. Tanto del sector privado, como los consumos del gobierno (nacional, provincial y municipal), e instituciones y empresas de servicio público (como defensa, educación y salud)."
27,"Es el consumo energético de las industrias, para todos los usos, excepto el transporte de mercaderías, que corresponde al sector Transporte."
28,"El consumo de energía de la actividad agropecuaria, la silvicultura y la pesca."
29,"Es la energía perdida en las actividades de producción, transporte, distribución y/o almacenamiento de los distintos productos energéticos, tanto primarios como secundarios."
30,""
31,""
32,"Es el combustible obtenido mediante el tratamiento físico o químico de materia vegetal o de residuos orgánicos."
33,"Son otros gases no especificados, como el gas de refinería, el gas de alto horno y el gas de coquería."
34,"Son otras energías no especificadas en el resto de las categorías, como el carbón residual y el carbón de leña."
35,""
36,""
37,""
38,""
39,""
